smiles,EF,SA,KP,AB,PA,BW,DKO
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC,1.014953224,0.999122665,1.055645379,0.981516133,1.028196252,1.042043944,1.072216726
COc1cc(-c2coc3cc(OC)c(OC)c(OC)c3c2=O)cc(OC)c1OC,0.999823486,0.816152194,0.930123174,0.982952614,1.025787492,1.041309263,1.04253862
C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,1.017474847,1.006337589,1.040437603,0.990918646,1.031293229,1.082616804,1.133855871
CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](OC)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,0.930478856,0.038094798,1.145260339,1.090177584,0.994129509,0.807446831,1.015143444
Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2,1.022518093,1.011243737,1.001933508,1.070122626,1.008926175,0.946877606,0.811201583
NC(=O)CC[C@H](N)C(=O)O,0.989736995,1.01095514,0.973661033,0.986024868,1.028196252,1.045360752,1.04253862
COc1c(OC)c2occc2c2oc(=O)ccc12,1.031343773,0.513702584,0.927851767,0.792095736,1.001011679,0.945775055,0.541054714
CC(C)CCCC(C)C1CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C,1.030082961,1.003740217,1.010051266,0.994172517,1.019937648,1.042408233,1.012099536
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O,1.017474847,1.035774479,0.988865089,0.992637591,0.997914702,1.03209206,1.033406894
c1cncc(C2CCCCN2)c1,0.984693749,0.998545471,1.047938363,0.954544887,1.000667571,1.069710676,0.954265277
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0.975868069,0.993062129,0.988661521,1.03464879,0.995505943,0.983396324,1.003728788
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,1.02882215,0.991907741,1.012142528,0.998746922,1.017528888,1.087048501,0.99535804
COc1cc2c(cc1O)C[C@H]1c3c(cc(O)c(OC)c3-2)CCN1C,1.017474847,0.997102487,1.000738734,1.049278475,0.989656098,0.996683853,1.030362986
CC=C1[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,0.997301863,1.03000254,0.973085455,0.935902345,0.990688424,0.962386025,1.101894833
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0.95065184,0.879354928,1.04125617,0.955507049,0.959374548,0.848016507,0.317327448
C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,0.929218045,0.964779627,0.993500715,1.095351271,1.011679043,0.864983409,1.032645917
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C,1.025039716,1.097534228,1.093256962,0.973244578,1.009958501,1.028774058,1.101133856
COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,1.009909978,0.999699859,0.942466188,0.931572668,0.951115944,0.857615776,0.852294346
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1.050255945,0.956698913,1.139593355,1.164688235,0.984150362,0.919222548,1.070694772
COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,0.919131553,1.00345162,0.97322621,1.009889755,0.96591261,0.929546415,1.057758161
NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,1.016214035,1.011532334,0.918395396,0.998174974,1.040584159,1.055319136,1.179514497
c1ccc2c(c1)[nH]c1cnccc12,1.012431601,1.015284095,0.528152369,0.506252213,1.000667571,0.601614094,0.843923598
O=C(O)c1cccnc1,0.939304536,0.040980768,1.052740979,1.065754051,1.029916795,1.093304827,0.856099231
NCCc1ccc(O)cc1,1.014953224,1.012686722,1.014835397,1.035088181,1.015808345,1.056441587,1.054714253
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,1.022518093,0.973437536,1.058656728,0.973000558,1.019249431,1.054587905,0.634654897
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1.062864059,0.961605061,1.005940013,1.052214593,1.016496562,0.959043481,0.802830835
